,road_name,gender
157,Daguerre straat,null
158,De Lier hof,null
159,De Ontdekkers brug,null
160,Adelaars weg,null
161,Adingerdorp hof,null
162,Dalstein dreef,null
163,Dalton straat,male
164,De-Grote-Geus plein,male
165,Borneo kade,male
166,Borneo laan,male
167,Diepen,null
168,Digitaal straat,null
169,Dijle hof,female
170,Borneosteiger,null
171,Dirk Witte hof,male
172,Display straat,male
173,Doklaantje,null
174,Dirk Deutekom pad,male
175,Dirk Hartogh straat,male
176,Dirk SchäFer straat,male
177,Borneo straat,male
178,Bornhout,null
179,Borrendamme hof,null
180,Borssenburg plein,null
181,Borssenburg straat,null
182,Duivendrechtse laan,null
183,Dwars Spinhuis steeg,null
184,Eckehart hof,null
185,Dirk Sonoy straat,male
186,Eerste Tuindwars straat,male
187,Elseneur brug,null
188,Dirk Van Hasselts steeg,male
189,Eerste Boomdwars straat,male
190,Eerste Breeuwers straat,male
191,Eerste Ceram straat,male
192,Eerste Coehoorn straat,male
193,AustraliëHaven weg,null
194,B&W Allee,null
195,Dirk Vreeken straat,male
196,Essen laan,female
197,Ethosa,null
198,B. Merkelbach singel,null
199,Baanakkers pad,null
200,Baan brug,male
201,Baanbrug steeg,null
202,Griselde straat,female
203,Baarsjes weg,null
204,Baars straat,male
205,Baas Gansendonck straat,male
206,First straat,male
207,Bach plein,male
208,Bach straat,male
209,Formosa straat,female
210,Back-Up straat,male
211,Dirkshorn plantsoen,null
212,Frans De Vreng pad,male
213,Fresia straat,female
214,Frissenstein,null
215,Discus straat,male
216,Diskette weg,null
217,Distelachter straat,null
218,Distel kade,male
219,Hondsdraf pad,null
220,Dam,male
221,Damlopers pad,null
222,Distelkruis straat,null
223,Distel laan,male
224,Eerste Coentunnel,male
225,Gageldonk,null
226,Distel plein,male
227,Distelvoor straat,null
228,Geert Geertsen brug,male
229,Eerste Ringdijk straat,male
230,Eerste Rozendwars straat,male
231,George Gershwin plein,male
232,Eerste Schinkel straat,male
233,Gerrit Mannoury straat,male
234,Eerste Sweelinck straat,male
235,Eerste Van Der Helst straat,male
236,Gloriant straat,male
237,Grevelingen straat,null
238,Bos En Lommer plantsoen,male
239,Ekingen straat,null
240,Bos En Lommer plein,male
241,Eksteenfontein,null
242,Ekster laan,null
243,Ekster straat,null
244,Gustav Leonhardt brug,male
245,Guus Trestorff straat,male
246,Damrak,null
247,Damrak steeg,null
248,Dam straat,male
249,Hagenau,null
250,Burgemeester Vening Meinesz laan,male
251,Burgersdijk straat,null
252,Burgersweer hof,null
253,Burmandwars straat,null
254,Hato straat,male
255,Busken Huet straat,null
256,Buskenblaser straat,null
257,Busstation Elands gracht,null
258,Heintje Hoeks steeg,male
259,Bussum straat,null
260,Henk Hiensch straat,male
261,DaniëL De Lange straat,male
262,Butaan weg,null
263,Butskop weg,null
264,Buys kade,female
265,Buys pad,female
266,Buziau straat,null
267, Hof Van Groenen,female
268,BöHler pad,null
269,C. Kruyswijk straat,null
270,DaniëL Defoe laan,male
271,Emma plein,female
272,Hollandse Iep brug,null
273,Honingen,null
274,Bos En Lommer weg,male
275,Bosbraak hof,null
276,Bosch Van Drakestein pad,male
277,C. Van Eesteren laan,null
278,C.J.K. Van Aalst straat,null
279,C.J.Van Houten laan,male
280,Bosplaat,null
281,Bosrank straat,null
282,Boterdiep straat,null
283,Boterkers straat,null
284,Bottelarijpassage,null
285,Bottelarij straat,null
286,Bottelier plein,null
287,C.K. Elout straat,null
288,Botter straat,null
289,Botteskerk singel,null
290,Botticelli straat,male
291,Boulevard pad,male
292,Houtkopersburgwal,null
293,Bouten burg,null
294,Boutens straat,null
295,Bouvigne,null
296,Bouwen Ewoutsz straat,male
297,Baden Powell weg,male
298,Boven Rijkersloot,male
299,Bovenkarspel straat,null
300,Ijzerwerker straat,null
301,Bovenkruier,null
302,Entrepot hof,null
303,Badhuis kade,female
304,Badrian hof,male
305,Baeto straat,null
306,Baffin straat,male
307,Baionen,null
308,Esplanade De Meer,female
309,Jan Goeverneur hof,male
310,Jan Postma hof,male
311,Henk Gortzak straat,male
312,Esther De Boer-Van Rijk straat,female
313,Jeroenen steeg,null
314,Johan Schamp pad,male
315,Ethekwini,male
316,Johannes De Beka hof,male
317,Joop Eijl straat,male
318,Bakhuizen Van Den Brink hof,null
319,Bakhuys Roozeboom straat,null
320,Bakkers brug,male
321,Bakkers straat,male
322,Johannes Van Der Steur straat,male
323,Bakkum straat,null
324,Falck straat,male
325,Kanaal post,null
326,Karel Van De Woestijne straat,male
327,Joop Gerritze straat,male
328,Kastanje weg,null
329,Balatonmeer laan,null
330,Balboa plein,male
331,Balboa straat,male
332,Baldermoer,null
333,Baldwin straat,male
334,Joop Ijisberg straat,male
335,Kemirie straat,null
336,Balearen laan,null
337,Balgzand straat,null
338,Bali straat,male
339,Ballen brug,male
340,Balthasar Florisz straat,male
341,Bamberg hof,male
342,Bananen straat,null
343,Bandijk straat,null
344,Banka straat,male
345,Bankwerkerij,null
346,Fannius Scholten straat,null
347,Fanny Blankers-Koen laan,female
348,King'S Cross,null
349,Klieverink,null
350,Bovenover,null
351,Boy Edgar straat,male
352,Boymans weg,null
353,Braak En Bosch,male
354,Brachthuijzer straat,null
355,Fanny Durack straat,female
356,Braeburn straat,null
357,Kokospalm hof,null
358,Brahms straat,male
359,Joop Van Weezel hof,male
360,Joop Woortman plein,male
361,Korte Leidsedwars straat,female
362,Bramzeil,null
363,Kromelleboog steeg,null
364,Bramzeil hof,null
365,Brand brug,male
366,Banne Buiksloot laan,female
367,Banne Centrum,female
368,Banne plein,female
369,Ban straat,male
370,Bantammer brug,null
371,Banterij,null
372,Barajas weg,male
373,Barbara Strozzi laan,female
374,Brandewijn steeg,null
375,Barbara Van Meerten straat,female
376,Barbusse laan,null
377,Barcelona plein,male
378,Brandnetel pad,null
379,Brandslang straat,null
380,Lamong brug,male
381,Brandts Buys straat,null
382,Brandweer brug,male
383,Barentsz plein,null
384,Barentsz straat,null
385,Brantas brug,male
386,Brede Kerke pad,male
387,Leiduin straat,null
388,Bark pad,male
389,Barnde steeg,null
390,Barnevelder straat,null
391,Baron G.A. Tindal plein,male
392,Baron G.A. Tindal straat,male
393,Joos Banckers plantsoen,male
394,Baron Schimmelpenninck Van Der Oye weg,male
395,Baronie pad,male
396,Brede Vogel straat,male
397,Brederode straat,null
398,Brede weg,male
399,Bredius straat,null
400,Liesbeth Den Uyl brug,female
401,Linter hof,null
402,Justus Lipsius straat,male
403,Louis De Visser straat,male
404,Louise De Coligny straat,female
405,Breed veld,male
406,Baronie straat,male
407,Baron straat,male
408,Bart De Ligt straat,male
409,Bart Poesiat straat,male
410,Bart Van Der Leck plantsoen,male
411,Bart Van Hove straat,male
412,Bartholomeus Diaz straat,male
413,Justus Van Maurik straat,male
414,Juttepeer pad,null
415,Bartholomeus Drijfhout straat,male
416,Martinus Nijhoff straat,male
417,Bartholt Enthes straat,null
418,Breehorn straat,null
419,Breezand pad,null
420,Breitner straat,male
421,Brem singel,female
422,Ken Saro-Wiwa straat,male
423,Brem straat,female
424,Brenner,male
425,Brentano straat,null
426,Bretten laan,male
427,Fazanten laan,null
428,Fazanten weg,null
429,Broekzijdsche pad,null
430,Broenshofje,null
431,Bromo straat,male
432,Bronckhorst straat,null
433,K+R,null
434,Brouwers gracht,male
435, Brug 102,male
436, Brug 142,male
437, Brug 38,male
438, Brug 39,male
439, Brug 40,male
440, Brug 66,male
441, Brug 69,male
442, Brug 812,male
443, Brug 848,male
444, Brug 849,male
445, Brug 850,male
446,Bruins Slot straat,male
447,Bruinvis straat,null
448,Bruno Van Moerkerkenpassage,male
449,Brussel singel,null
450,Buffer straat,male
451,Februari plein,male
452,Monnikendwars straat,null
453,C.P.M. Romme plantsoen,null
454,Cabot straat,male
455,Cabral straat,male
456,Cacao weg,male
457,Mt. Ondina weg,null
458,Callantsoog straat,null
459,Camera Obscura brug,male
460,Basis weg,male
461,Campanula pad,null
462,Namen hof,male
463,Campanula straat,null
464,Camper straat,male
465,Cannen burg,male
466,Ndsm-Pier,male
467,Henk HenriëT straat,male
468,Nida Senff straat,female
469,Henk Ooms pad,male
470,Fokkezeil,null
471,Bastenaken straat,null
472,Bastiaan Plooij straat,male
473,Basting straat,null
474,Batavia straat,male
475,Batjan straat,null
476,Batterypark straat,null
477,Bauduin laan,male
478,Capri weg,female
479,Carillon straat,null
480,Carnap straat,null
481,Feike De Boer laan,male
482,Fenny Heemskerk brug,female
483,Fonteinkruid straat,null
484,Fluweelboom laan,null
485,Kenau Simons Hasselaar straat,null
486,Frits Rotgans hof,male
487,Kampina,null
488,Chassé Straat,null
489,Noordkaap straat,null
490,Chesterton laan,male
491,Chet Baker straat,male
492,Kennemerduin straat,null
493,Beemster straat,null
494,Beethoven plein,male
495,Fritz Conijn straat,male
496,FröBel straat,null
497,Funen kade,null
498,Keratella straat,null
499,Chico Mendes straat,male
500,Chopin straat,male
501,Chris Lebeau straat,male
502,Christiaan BrüNings straat,male
503,Christiaan De Wet straat,male
504,Christiaan Huygens plein,male
505,Christian Neefe straat,male
506,Christine Poolman hof,female
507,Christine Stoetz hof,female
508,Karel Van Het Reve brug,male
509,Het Amsterdamse Pad,male
510,Karimata straat,null
511,Kerdijk hof,null
512,Christoffel Plantijn gracht,male
513,DaniëL Goedkoop straat,male
514,DaniëL Stalpert straat,male
515,Dante straat,male
516,Orca straat,male
517,Clio straat,female
518,Coenhaven weg,null
519,Coentje Gans plantsoen,null
520,Kleine Hout straat,male
521,Buiksloterbreek,null
522,Oterleek straat,null
523,Lanseloet straat,male
524,David Vos straat,male
525,David Wijnkoop straat,male
526,Davis straat,male
527,Hoekenrode,null
528,Karl GröGer singel,male
529,Jan Vrijman straat,male
530,Paulusbroedersluis,null
531,Pesthuis laan,null
532,De Borcht,null
533,Karl Marx pad,male
534,Pier De Boer brug,male
535,Golfbaan pad,male
536,De Breek straat,null
537,Gooijer steeg,null
538,Gooilandse weg,null
539,Karlskrona-Eiland,female
540,Pieter Goos straat,male
541,Karnemelk steeg,null
542,Buiksloter weg,null
543,Buiten Bantammer straat,male
544,Johanna Ter Meulen plein,female
545,Buiten Brouwers straat,male
546,Buiten Dommers straat,male
547,Buiten Oranje straat,male
548,Buiten Vissers straat,male
549,Buiten Wieringer straat,male
550,Johanna park,female
551,Karn straat,male
552,Buiten dijk,male
553,Buitendraaierij,null
554,Gooilust straat,null
555,Gooimeer straat,null
556,De Witten kade,null
557,De Witten straat,null
558,Buiten gouw,male
559,Buitenkerker weg,null
560,Buitenrust pad,null
561,Buiten singel,male
562,Derde Kostverloren kade,male
563,Derde Leliedwars straat,male
564,Derde Looiersdwars straat,male
565,Derde Marnixdwars straat,male
566,Gouwenaars steeg,null
567,Gouwzee straat,null
568,President Kennedy laan,male
569,Derde Oosterpark straat,male
570,Derde Schinkel straat,male
571,Derde Vogel straat,male
572,Derde Weteringdwars straat,male
573,Derde Wittenburgerdwars straat,male
574,Beethoven straat,male
575,Begijn hof,null
576,Begonia straat,female
577,Beijerland straat,null
578,Beira weg,female
579,Beitel kade,null
580,Prof. Tulp straat,male
581,België Plein,null
582,Bella Vista straat,female
583,Bellamy plein,male
584,Ptolemaeus straat,null
585,Bellamy straat,male
586,Bellefleur hof,null
587,Belmermeer,null
588,Beloega straat,null
589,Belvedere weg,male
590,Ben Alder,male
591,Ben Avon,male
592,Ben Bril straat,male
593,Ben Hope,male
594,Ben Lawers,male
595,Ben Nevis,male
596,Ben Van Meerendonk straat,male
597,Ben Webster straat,male
598,Ben Wyvis,male
599,Benedenlangs,null
600,Benelux baan,male
601,Karpata straat,null
602,Benit,male
603,Benjamin Britten straat,male
604,Benkoelen straat,null
605,Bennebroek straat,null
606,Benno Stokvis straat,male
607,Bentinck straat,null
608,Govert Flinck straat,male
609,Rentmeesters laan,null
610,Ribes laan,female
611,Benzol weg,null
612,Bep Bakhuys straat,female
613,Bep Van Klaveren boulevard,female
614,Berberis straat,null
615,Berceuse straat,null
616,Berchvliet,null
617,Bercy laan,male
618,Graaf Floris straat,null
619,Karper straat,null
620,Berend Boeijinga straat,male
621,Beren straat,female
622,Bergmolen,null
623,Beringen straat,null
624,Berkel straat,male
625,Berken laan,male
626,Berken straat,male
627,Berkhout hof,null
628,Johannes Blooker weg,male
629,Berlaar straat,null
630,Berlage brug,null
631,Berlage hof,null
632,Bernabeu hof,male
633,Bernard Koch straat,male
634,Bernard Leene pad,male
635,Bernard Loder straat,male
636,Bernard Shaw singel,male
637,Bernard Zweers kade,male
638,Bernhard Eilers hof,male
639,Bernisse straat,null
640,Bert Haanstra hof,male
641,Graafschap straat,null
642,Johannes Hilverdink straat,male
643,Rutherford straat,male
644,Derkinderen straat,male
645,Schieland plein,null
646,Des PréS straat,male
647,Descartes pad,male
648,Descartes straat,male
649,Desiderius brug,male
650,Dessel straat,null
651,Buitenveldertse laan,null
652,Buitenzagerij,null
653,Science Park,male
654,Buizerd laan,null
655,Bulgerstein,null
656,Bullebak,null
657,Bulle brug,male
658,Bulle pad,male
659,Kleine Pimpernel straat,male
660,Kruitberg hof,null
661,Bullewijk pad,null
662,Bultrug pad,null
663,Deurloo straat,male
664,Deutzenhofje,null
665,Bund laan,female
666,Burgemeester Bletz straat,male
667,Burgemeester Cramer gracht,male
668,Develstein,null
669,Dever,male
670,Lanzarote straat,male
671,Bert Haanstra kade,male
672,Bertelman plein,null
673,Bertelman straat,null
674,Berthelot straat,male
675,Berthold Brecht straat,male
676,Bertrand Russell straat,male
677,Bertus Van Grouw straat,male
678,Berzelius straat,null
679,Bessemer straat,null
680,Bessie Smith brug,female
681,Lodewijk Trip straat,male
682,BestevâEr straat,null
683,Betelgeuze straat,null
684,BethaniëNdwars straat,null
685,BethaniëN straat,null
686,Bethlem steeg,female
687,Deyman straat,male
688,Diamantbewerkers brug,null
689,Diamant straat,male
690,Stoof steeg,male
691,Betuwe straat,null
692,Beuling straat,null
693,Beurspassage,null
694,Beurs plein,null
695,Beurspoortje,null
696,Beurs straat,null
697,Beveren straat,male
698,Beverwijk straat,null
699,Beyster veld,null
700,Diatoma straat,null
701,Dichtershofje,null
702,Dick Greiner straat,male
703,Realen gracht,null
704,Burgemeester Rendorp straat,male
705,Laboratorium straat,male
706,Generaal Vetter straat,male
707,Generator straat,male
708,Tjalk straat,null
709,Bezaanjacht plein,null
710,Bezembinders pad,null
711,Bickers gracht,male
712,Bickerswerf,null
713,Bierdragersgang,null
714,Bierens De Haan straat,male
715,Biesbosch straat,null
716,Bieslook pad,null
717,Bijdorp plantsoen,null
718,Bijdorp straat,null
719,Dick Hillenius pad,male
720,Concertgebouw plein,null
721,Trianon pad,null
722,Concordiahofje-Noord,null
723,Trouringh straat,null
724,Tulpen laan,female
725,Genhoes,null
726,Tweede Ceram straat,male
727,Bijlmerplein pad,null
728,Bijlmerringsloot,null
729,Bijlmerweide,null
730,Bijltjes pad,null
731,Bilderdijk kade,null
732,Bilderdijk park,null
733,Condensator weg,null
734,Confucius plein,null
735,Conny Stuart straat,female
736,Conrad straat,male
737,Constantiahofje,null
738,Tjeukemeer hof,null
739,Dickens laan,male
740,Diderot straat,male
741,Valken steeg,male
742,Groen Van Prinsterer straat,female
743,Tweede Disteldwars straat,male
744,Ladogameer hof,null
745,Cornelis Van Alkemade straat,male
746,Cornelis Van Der Linden straat,male
747,Cornelis Van Rij plantsoen,male
748,Cornelis Van Vollenhoven straat,male
749,Cornelis Vermuyden straat,male
750,Verf straat,male
751,Cornelis Vriendt straat,male
752,Coronel straat,male
753,Corsgen brug,null
754,Dienst pad,female
755,Diepenbeek plantsoen,null
756,Groenburgwal,null
757,Groene Ridder hof,female
758,Bilderdijk straat,null
759,Billie Holiday straat,female
760,Billiton straat,null
761,Binnen Brouwers straat,male
762,Binnen Dommers straat,male
763,Binnen Oranje straat,male
764,Binnen Vissers straat,male
765,Binnen Wieringer straat,male
766,Binnendraaierij,null
767,Binnengasthuis straat,null
768,Binnenhof straat,null
769,Dijksloot,null
770,Binnenka dijk,null
771,Groene Ridder pad,female
772,Binnenkant,null
773,Binnenpolderring dijk Noord,null
774,Dijk straat,male
775,Lage Brug,male
776,Groenehuyzen,null
777,Groenendaal straat,null
778,Van Linschoten straat,male
779,Dijkwater,null
780,Binnenvaart,null
781,Binnenzagerij,null
782,Biot hof,male
783,Bitterzoet straat,male
784,Blaauwlaken steeg,null
785,Blaeu Erf,null
786,Blaeu straat,null
787,Blancefloor straat,null
788,Blankenberge straat,null
789,Blanken straat,null
790,Blasius straat,male
791,Vuurwerker weg,null
792,Dijkweg pad,null
793,Laing'S Nek straat,null
794,Dijsselhof plantsoen,null
795,Dikninge,null
796,Blauw brug,null
797,Blauwburgwal,null
798,Blauwdas straat,null
799,Blauwezand brug,null
800,Blauwhoedenveem,null
801,Blauwpijp straat,null
802,Blauwvoet straat,null
803,Dilbeek pad,null
804,Dille hof,male
805,Dille straat,male
806,Blazer pad,male
807,Bleijenbeek,null
808,Bloed straat,null
809,Dilsen straat,female
810,Dina Appeldoorn straat,female
811,Dinarpromenade,null
812,Lakenhal straat,null
813,Van Marum straat,male
814,Lamarck hof,male
815,Molenbeek straat,null
816,Nieuwe Passeerders straat,male
817,Soerabaja straat,male
818,Gentiaan plein,null
819,Van Middellandt straat,male
820,Gentiaan straat,null
821,Corsica weg,female
822,Cort Van Der Linden kade,male
823,Cortenbach,null
824,Corversbos straat,null
825,CoöPeratie hof,null
826,Crack-State,female
827,Cromme Camp,null
828,Cronjé Straat,null
829,George Balanchine straat,male
830,Soerapati straat,null
831,Bloemendaler gouw,null
832,Bloemendaler weg,null
833,Bloem gracht,female
834,Bloem straat,female
835,Blokker straat,null
836,Zuiderzee weg,null
837,Blokmaker straat,null
838,Blomwijcker pad,null
839,Bloys Van Treslong straat,null
840,Zwarte Pad,male
841,Admiraal De Ruijter weg,male
842,Admiraal Helfrich straat,male
843,Admiralen gracht,null
844,Admiraliteit straat,null
845,Adolf Van Nassau straat,male
846,Adolf Van Nassau weg,male
847,Adolphine Eduardine Kok plantsoen,female
848,Adriaan Ditvoorst hof,male
849,Adriaan Dorsman straat,male
850,Adriaan Kluit straat,male
851,Adriaan Loosjes straat,male
852,Adriaan Van Bergen straat,male
853,Adriaan Van Der Horst straat,male
854,Adriaan Van Oordt hof,male
855,Adrianus Van Waert weg,male
856,Adrichem straat,null
857,AdèLe Opzoomer straat,female
858,Afrodite kade,female
859,Agamemnon straat,male
860,Agatha Christie singel,female
861,Agatha Deken straat,female
862,Akbar straat,male
863,Akerpolder straat,null
864,Aker singel,male
865,Akersluis,null
866,Akerwatering straat,null
867,Akkerdistel straat,null
868,Akker straat,female
869,Albarda gracht,male
870,Albarda kade,male
871,Albatros pad,male
872,Alberdingk Thijm straat,null
873,Albert Camus laan,male
874,Blussé Straat,null
875,Boas En Judels hof,male
876,Albert Cuyp straat,male
877,Albert Hahn plantsoen,male
878,Albert Helman brug,male
879,Albert Luthuli straat,male
880,Albert Mol hof,male
881,Albert Neuhuys straat,male
882,Albert Schultens hof,male
883,Albert Verwey straat,male
884,Albert Wittenberg plein,male
885,Albertus Magnus hof,male
886,Alblas straat,male
887,Albrecht DüRer straat,male
888,Albrecht Rodenbach hof,male
889,Alcantara straat,male
890,Aldebaran plein,male
891,Aldebaran straat,male
892,Aldendriel,null
893,Aldengoor,null
894,Aletta Jacobs laan,female
895,Alexander Boers straat,male
896,Alexander kade,male
897,Alexander plein,male
898,Alexandrine Tinne hof,female
899,Oude Kinker brug,female
900,Alfred Tepe pad,male
901,Algol straat,null
902,Alhambra laan,female
903,Alida Van Den Bos straat,female
904,Alkmaar straat,male
905,Allard Pierson straat,male
906,Allen straat,male
907,Alma Tadema straat,female
908,Alm straat,female
909,Alpert Van Metz hof,male
910,Aluminium brug,male
911,Amalia straat,female
912,Amandel straat,null
913,Amazonen straat,null
914,Ambacht straat,null
915,Ambon plein,male
916,Ambon straat,male
917,Ambulanceingang Vumc,null
918,Ambulanceinrit Bovenij,null
919,Amc pad,female
920,Ameland straat,null
921,Amerbos,null
922,Amerikahaven weg,null
923,Amoeba straat,male
924,AmpèRe straat,female
925,Oude Lelie straat,female
926,Amstel,male
927,Amstelbest pad,null
928,Amstelbest straat,null
929,Amstel boulevard,male
930,Bob Haarms laan,male
931,Bocholt straat,null
932,Bodensee hof,male
933,Boecken burg,null
934,Boeiers pad,null
935,Boenin laan,male
936,Boeren steeg,null
937,Boerenwetering pad,null
938,Boerhaave plein,null
939,Boeroe straat,null
940,Boeton straat,null
941,Bogortuin,null
942,Cruquius kade,null
943,Amstel dijk,male
944,Amstel dijk Noord,male
945,Amstel kade,male
946,Amstelland laan,male
947,Amstel park,male
948,Amstel plein,male
949,Amstelstation,null
950,Amstel straat,male
951,Amstelstroom laan,null
952,Bok De Korver weg,male
953,Bokkinghangen,null
954,Bolestein,null
955,Bolk straat,female
956,Bolstoen,null
957,Amstelveense weg,null
958,Amstel veld,male
959,Oude Looiers straat,female
960,Amstelvliet straat,null
961,Amsterdam Arena,male
962,Amsterdam Bijlmer Arena,male
963,Amsterdam Rijnkanaal kade,male
964,Amsterdam Sloter dijk,male
965,Amsterdamsestraat weg,null
966,Analoog straat,null
967,Ananas plein,female
968,Anderiesen straat,null
969,Anderlecht laan,null
970,Andersen singel,male
971,Andijk straat,null
972,Andoorn straat,null
973,Andreas Bonn straat,male
974,Andreas Schelfhout straat,male
975,Andreas plein,male
976,Andrej Sacharov straat,male
977,Andries Copier straat,male
978,Andries Snoek straat,male
979,Cruquius straat,null
980,Andries Vierlingh straat,male
981,Andromeda straat,female
982,Anemoon straat,female
983,Anjeliers straat,null
984,Ank Van Der Moer straat,female
985,Anker weg,male
986,Anna Bijns straat,female
987,Anna Blaman singel,female
988,Anna Pavlova straat,female
989,Anna Spengler straat,female
990,Anna Van Buren straat,female
991,Anna Vock straat,female
992,Annabella weg,female
993,Anne Frank straat,female
994,Anne Kooistra hof,female
995,Annemonen laan,null
996,Annette Versluys pad,female
997,Annie M.G. Schmidt brug,female
998,Annie M.G. Schmidt straat,female
999,Annie Romein plein,female
1000,Anselmus hof,male
1001,Anske Lamminga straat,male
1002,Antarus straat,null
1003,Anthonie Van Aken straat,male
1004,Anthonie Van Dijck straat,male
1005,Anthony Fokker weg,male
1006,Anthony Spatzier hof,male
1007,Antillen straat,null
1008,Anton Constandse straat,male
1009,Anton De Kom plein,male
1010,Anton HöLzel singel,male
1011,Anton Joling brug,male
1012,Anton Peters hof,male
1013,Bombraak,null
1014,Haarlemmermeerstation,null
1015,Anton Schlepers pad,male
1016,Anton Struik straat,male
1017,Anton Verheij straat,male
1018,Anton Waldorp straat,male
1019,Antonie Heinsius straat,male
1020,Antonio Vivaldi straat,male
1021,Antony Modderman straat,male
1022,Antoon Keldermans straat,male
1023,Apollo laan,male
1024,Aquamarin,female
1025,Arago hof,male
1026,Arcadia,female
1027,Arcella straat,female
1028,Bomenrijk,null
1029,Bonaire plein,male
1030,Bonaire straat,male
1031,Archangel kade,male
1032,Archangel weg,male
1033,Archimedes laan,male
1034,Archimedes plantsoen,male
1035,Archimedes weg,male
1036,Ardennen laan,male
1037,Arenborg,null
1038,Arend laan,male
1039,Arendonk singel,null
1040,Da Costa straat,null
1041,Arent Janszoon Ernst straat,male
1042,Arent Krijts straat,male
1043,Argonauten straat,null
1044,Argo straat,male
1045,Ariana Nozeman straat,female
1046,Arie Biemond straat,male
1047,Arij Prins straat,male
1048,Aristide Briand straat,male
1049,Aristoteles straat,male
1050,Arlanda weg,male
1051,Arm brug,male
1052,Armeense brug,null
1053,Arnold Geulincx pad,male
1054,Arnold Ingwersen pad,male
1055,Arnold SchöNberg laan,male
1056,Arondeus straat,null
1057,Artemis straat,female
